"filename", "language", "TypeScript React", "TypeScript", "CSS", "JSON", "JavaScript", "comment", "blank", "total"
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/profile/ProfileBlock.module.css", "CSS", 0, 0, 9, 0, 0, 4, 2, 15
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/profile/ProfileBlock.tsx", "TypeScript React", 5, 0, 0, 0, 0, 0, 0, 5
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/resetPassword/ResetPasswordPage.tsx", "TypeScript React", 150, 0, 0, 0, 0, 4, 6, 160
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/signIn/SignInPage.tsx", "TypeScript React", 3, 0, 0, 0, 0, 1, 0, 4
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/signUp/EmailEnterForm.tsx", "TypeScript React", 11, 0, 0, 0, 0, 0, 0, 11
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/signUp/PasswordSetUpForm.tsx", "TypeScript React", -19, 0, 0, 0, 0, -1, 0, -20
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/signUp/VerifyEmailForm.tsx", "TypeScript React", -22, 0, 0, 0, 0, -4, 2, -24
"/Users/yukimoto/projects/touchwhale-erp/client/src/routes/AppRoutes.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, -1, -1
"/Users/yukimoto/projects/touchwhale-erp/client/src/routes/appLink.ts", "TypeScript", 0, -2, 0, 0, 0, 0, 0, -2
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/apiRoutes.js", "JavaScript", 0, 0, 0, 0, 2, 0, 0, 2
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/role/roleControllers.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, -1
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/role/roleRoutes.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 11
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/user/userControllers.js", "JavaScript", 0, 0, 0, 0, 6, -16, 0, -10
"/Users/yukimoto/projects/touchwhale-erp/server/dist/features/user/userRoutes.js", "JavaScript", 0, 0, 0, 0, 3, 0, 0, 3
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/apiRoutes.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 2
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/role/roleControllers.ts", "TypeScript", 0, 5, 0, 0, 0, 0, -1, 4
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/role/roleHandlerIO.ts", "TypeScript", 0, -135, 0, 0, 0, 0, -8, -143
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/role/roleRoutes.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 1, 18
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/role/roleType.ts", "TypeScript", 0, -46, 0, 0, 0, 0, -5, -51
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/user/userControllers.ts", "TypeScript", 0, 11, 0, 0, 0, -16, 0, -5
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/user/userHandlerIO.ts", "TypeScript", 0, -198, 0, 0, 0, 0, -16, -214
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/user/userRoutes.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 10
"/Users/yukimoto/projects/touchwhale-erp/server/src/features/user/userTypes.ts", "TypeScript", 0, -121, 0, 0, 0, 0, -24, -145
"Total", "-", 225, -224, 23, -33, 128, -18, -6, 95
