"filename", "language", "TypeScript React", "TypeScript", "CSS", "JSON", "env", "JavaScript", "JSON with Comments", "Markdown", "HTML", "comment", "blank", "total"
"/Users/yukimoto/projects/touchwhale-erp/api/dist/api.d.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 6, 1, 37
"/Users/yukimoto/projects/touchwhale-erp/api/dist/api.js", "JavaScript", 0, 0, 0, 0, 0, 217, 0, 0, 0, 37, 1, 255
"/Users/yukimoto/projects/touchwhale-erp/api/dist/apiTypes.d.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 1, 24
"/Users/yukimoto/projects/touchwhale-erp/api/dist/apiTypes.js", "JavaScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 8, 1, 27
"/Users/yukimoto/projects/touchwhale-erp/api/dist/index.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/yukimoto/projects/touchwhale-erp/api/dist/index.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"/Users/yukimoto/projects/touchwhale-erp/api/dist/permissionTypes.d.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 1, 26
"/Users/yukimoto/projects/touchwhale-erp/api/dist/permissionTypes.js", "JavaScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 1, 42
"/Users/yukimoto/projects/touchwhale-erp/api/dist/role/roleApi.d.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"/Users/yukimoto/projects/touchwhale-erp/api/dist/role/roleApi.js", "JavaScript", 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 1, 145
"/Users/yukimoto/projects/touchwhale-erp/api/dist/role/rolePermissions.d.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/yukimoto/projects/touchwhale-erp/api/dist/role/rolePermissions.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"/Users/yukimoto/projects/touchwhale-erp/api/dist/role/roleTypes.d.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"/Users/yukimoto/projects/touchwhale-erp/api/dist/role/roleTypes.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"/Users/yukimoto/projects/touchwhale-erp/api/dist/user/userApi.d.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 1, 87
"/Users/yukimoto/projects/touchwhale-erp/api/dist/user/userApi.js", "JavaScript", 0, 0, 0, 0, 0, 213, 0, 0, 0, 1, 1, 215
"/Users/yukimoto/projects/touchwhale-erp/api/dist/user/userPermissions.d.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/yukimoto/projects/touchwhale-erp/api/dist/user/userPermissions.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 1, 16
"/Users/yukimoto/projects/touchwhale-erp/api/dist/user/userTypes.d.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"/Users/yukimoto/projects/touchwhale-erp/api/dist/user/userTypes.js", "JavaScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"/Users/yukimoto/projects/touchwhale-erp/api/dist/utils/ApiPromise.d.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 1, 11
"/Users/yukimoto/projects/touchwhale-erp/api/dist/utils/ApiPromise.js", "JavaScript", 0, 0, 0, 0, 0, 58, 0, 0, 0, 6, 1, 65
"/Users/yukimoto/projects/touchwhale-erp/api/dist/utils/CustomError.d.ts", "TypeScript", 0, 138, 0, 0, 0, 0, 0, 0, 0, 7, 1, 146
"/Users/yukimoto/projects/touchwhale-erp/api/dist/utils/CustomError.js", "JavaScript", 0, 0, 0, 0, 0, 58, 0, 0, 0, 1, 1, 60
"/Users/yukimoto/projects/touchwhale-erp/api/dist/utils/ajv.d.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/yukimoto/projects/touchwhale-erp/api/dist/utils/ajv.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"/Users/yukimoto/projects/touchwhale-erp/api/dist/utils/errorTypeGuards.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/yukimoto/projects/touchwhale-erp/api/dist/utils/errorTypeGuards.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"/Users/yukimoto/projects/touchwhale-erp/api/dist/utils/mongoTypes.d.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/Users/yukimoto/projects/touchwhale-erp/api/dist/utils/mongoTypes.js", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 1, 17
"/Users/yukimoto/projects/touchwhale-erp/api/environment.d.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 3, 3, 43
"/Users/yukimoto/projects/touchwhale-erp/api/package-lock.json", "JSON", 0, 0, 0, 2384, 0, 0, 0, 0, 0, 0, 1, 2385
"/Users/yukimoto/projects/touchwhale-erp/api/package.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 1, 28
"/Users/yukimoto/projects/touchwhale-erp/api/src/api.ts", "TypeScript", 0, 264, 0, 0, 0, 0, 0, 0, 0, 37, 16, 317
"/Users/yukimoto/projects/touchwhale-erp/api/src/apiTypes.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 5, 35
"/Users/yukimoto/projects/touchwhale-erp/api/src/index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/yukimoto/projects/touchwhale-erp/api/src/permissionTypes.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 16, 9, 70
"/Users/yukimoto/projects/touchwhale-erp/api/src/role/roleApi.ts", "TypeScript", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 8, 173
"/Users/yukimoto/projects/touchwhale-erp/api/src/role/rolePermissions.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
"/Users/yukimoto/projects/touchwhale-erp/api/src/role/roleTypes.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/yukimoto/projects/touchwhale-erp/api/src/user/userApi.ts", "TypeScript", 0, 244, 0, 0, 0, 0, 0, 0, 0, 2, 17, 263
"/Users/yukimoto/projects/touchwhale-erp/api/src/user/userPermissions.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 4, 22
"/Users/yukimoto/projects/touchwhale-erp/api/src/user/userTypes.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 11, 67
"/Users/yukimoto/projects/touchwhale-erp/api/src/utils/ApiPromise.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 6, 4, 76
"/Users/yukimoto/projects/touchwhale-erp/api/src/utils/CustomError.ts", "TypeScript", 0, 181, 0, 0, 0, 0, 0, 0, 0, 8, 26, 215
"/Users/yukimoto/projects/touchwhale-erp/api/src/utils/ajv.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/yukimoto/projects/touchwhale-erp/api/src/utils/errorTypeGuards.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/yukimoto/projects/touchwhale-erp/api/src/utils/mongoTypes.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 2, 4, 26
"/Users/yukimoto/projects/touchwhale-erp/api/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 21, 0, 0, 78, 9, 108
"/Users/yukimoto/projects/touchwhale-erp/client/.env", "env", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"/Users/yukimoto/projects/touchwhale-erp/client/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 20, 45
"/Users/yukimoto/projects/touchwhale-erp/client/package-lock.json", "JSON", 0, 0, 0, 28022, 0, 0, 0, 0, 0, 0, 1, 28023
"/Users/yukimoto/projects/touchwhale-erp/client/package.json", "JSON", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 71
"/Users/yukimoto/projects/touchwhale-erp/client/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 1, 24
"/Users/yukimoto/projects/touchwhale-erp/client/public/manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"/Users/yukimoto/projects/touchwhale-erp/client/src/App.css", "CSS", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 5, 37
"/Users/yukimoto/projects/touchwhale-erp/client/src/App.test.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/yukimoto/projects/touchwhale-erp/client/src/App.tsx", "TypeScript React", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/yukimoto/projects/touchwhale-erp/client/src/api/apiErrorDealer.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 3, 4, 37
"/Users/yukimoto/projects/touchwhale-erp/client/src/api/roleActions.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"/Users/yukimoto/projects/touchwhale-erp/client/src/api/userActions.ts", "TypeScript", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 18, 99
"/Users/yukimoto/projects/touchwhale-erp/client/src/components/VerificationInput/VerificationInput.tsx", "TypeScript React", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/yukimoto/projects/touchwhale-erp/client/src/components/VerificationInput/VerifyCodeInput.module.css", "CSS", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/yukimoto/projects/touchwhale-erp/client/src/components/loading/Loading.module.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/yukimoto/projects/touchwhale-erp/client/src/components/loading/Loading.tsx", "TypeScript React", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/yukimoto/projects/touchwhale-erp/client/src/components/private/PrivateOutlet.tsx", "TypeScript React", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/Users/yukimoto/projects/touchwhale-erp/client/src/components/public/PublicOutlet.tsx", "TypeScript React", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/yukimoto/projects/touchwhale-erp/client/src/hooks/useAbortController.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 6, 21
"/Users/yukimoto/projects/touchwhale-erp/client/src/hooks/useIsMounted.tsx", "TypeScript React", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/Users/yukimoto/projects/touchwhale-erp/client/src/index.tsx", "TypeScript React", 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 25
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/fullLayout/FullLayout.module.css", "CSS", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 3, 48
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/fullLayout/FullLayout.tsx", "TypeScript React", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/mainLayout/MainLayout.module.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/mainLayout/MainLayout.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 23
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/mainLayout/mainLayout.slice.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/mainLayout/pageWithHeader/PageWithHeader.module.css", "CSS", 0, 0, 43, 0, 0, 0, 0, 0, 0, 2, 10, 55
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/mainLayout/pageWithHeader/PageWithHeader.tsx", "TypeScript React", 145, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 155
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/mainLayout/sideMenu/SideMenu.module.css", "CSS", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 12, 73
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/mainLayout/sideMenu/SideMenu.tsx", "TypeScript React", 79, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 83
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/forgetPassword/ForgetPasswordPage.tsx", "TypeScript React", 139, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 145
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/home/HomePage.tsx", "TypeScript React", 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 9
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/loading/AppLoading.module.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/loading/AppLoading.tsx", "TypeScript React", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/product/ProductPage.css", "CSS", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/product/ProductPage.tsx", "TypeScript React", 173, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 189
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/profile/AvatarUpload.module.css", "CSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/profile/AvatarUpload.tsx", "TypeScript React", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 131
