"filename", "language", "TypeScript", "TypeScript React", "CSS", "JSON with Comments", "Markdown", "JSON", "JavaScript", "env", "HTML", "comment", "blank", "total"
"/Users/yukimoto/projects/touchwhale-erp/api/src/utils/mongoTypes.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 26
"/Users/yukimoto/projects/touchwhale-erp/api/tsconfig.json", "JSON with Comments", 0, 0, 0, 21, 0, 0, 0, 0, 0, 78, 9, 108
"/Users/yukimoto/projects/touchwhale-erp/client/.env", "env", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/yukimoto/projects/touchwhale-erp/client/README.md", "Markdown", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 20, 45
"/Users/yukimoto/projects/touchwhale-erp/client/package-lock.json", "JSON", 0, 0, 0, 0, 0, 28056, 0, 0, 0, 0, 1, 28057
"/Users/yukimoto/projects/touchwhale-erp/client/package.json", "JSON", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 1, 70
"/Users/yukimoto/projects/touchwhale-erp/client/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 1, 24
"/Users/yukimoto/projects/touchwhale-erp/client/public/manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"/Users/yukimoto/projects/touchwhale-erp/client/src/App.css", "CSS", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/yukimoto/projects/touchwhale-erp/client/src/App.test.tsx", "TypeScript React", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/yukimoto/projects/touchwhale-erp/client/src/App.tsx", "TypeScript React", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/yukimoto/projects/touchwhale-erp/client/src/api/apiErrorDealer.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 37
"/Users/yukimoto/projects/touchwhale-erp/client/src/api/userActions.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 104
"/Users/yukimoto/projects/touchwhale-erp/client/src/components/VerificationInput/VerificationInput.tsx", "TypeScript React", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/yukimoto/projects/touchwhale-erp/client/src/components/VerificationInput/VerifyCodeInput.module.css", "CSS", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"/Users/yukimoto/projects/touchwhale-erp/client/src/components/private/PrivateOutlet.tsx", "TypeScript React", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/yukimoto/projects/touchwhale-erp/client/src/components/public/PublicOutlet.tsx", "TypeScript React", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/yukimoto/projects/touchwhale-erp/client/src/hooks/useAbortController.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 21
"/Users/yukimoto/projects/touchwhale-erp/client/src/index.tsx", "TypeScript React", 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 3, 25
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/fullLayout/FullLayout.module.css", "CSS", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 3, 46
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/fullLayout/FullLayout.tsx", "TypeScript React", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/mainLayout/MainLayout.module.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/mainLayout/MainLayout.tsx", "TypeScript React", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 4, 23
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/mainLayout/mainLayout.slice.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/mainLayout/pageWithHeader/PageWithHeader.css", "CSS", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 6, 36
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/mainLayout/pageWithHeader/PageWithHeader.module.css", "CSS", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 2, 11
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/mainLayout/pageWithHeader/PageWithHeader.tsx", "TypeScript React", 0, 134, 0, 0, 0, 0, 0, 0, 0, 7, 3, 144
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/mainLayout/sideMenu/SideMenu.css", "CSS", 0, 0, 69, 0, 0, 0, 0, 0, 0, 2, 13, 84
"/Users/yukimoto/projects/touchwhale-erp/client/src/layout/mainLayout/sideMenu/SideMenu.tsx", "TypeScript React", 0, 79, 0, 0, 0, 0, 0, 0, 0, 1, 3, 83
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/forgetPassword/ForgetPasswordPage.tsx", "TypeScript React", 0, 83, 0, 0, 0, 0, 0, 0, 0, 2, 6, 91
"/Users/yukimoto/projects/touchwhale-erp/client/src/pages/home/HomePage.tsx", "TypeScript React", 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 3, 9
